key,en,zh_CN,pt_BR,hi,id,fil,zh_TW,ru,ja,de,fr,ko,pt,es,az,be,hr,cs,da,ar_EG,fi,el,hu,fa,he,it,ar_LB,lt,ms,ar_MA,nl_NL,nb,ar_OM,en_PH,pl,ro,ar_SA,sk,sv,th,ar_TN,tr,uk,ar_AE,uz,vi,af,am,bn,bs,ca,es_ES,es_MX,es_US,fr_CA,gu,is,kk,km,kn,lo,mk,ml,mn,mr,ne,pa,pt_PT,si,sl,sr,sw,ta,te,ur
PUSH_EVE_TITLE_54,😺 Bedtime is better shared!,😺 睡前时光宜共享！,😺 Dormir é melhor compartilhado!,😺 बिस्तर साथ बेहतर!,😺 Waktu tidur lebih baik berbagi!,😺 Mas masarap kung sabay matutulog!,😺 睡覺要兩個人才好!,😺 Сон вдвоём лучше!,😺 寝るのは2人がいい!,😺 Schlafenszeit ist besser geteilt!,😺 Le dodo est mieux partagé !,😺 자는 건 둘이 좋아!,😺 Dormir é melhor compartilhado!,😺 ¡Dormir es mejor en compañía!,😺 Yatma paylaşılınca yaxşıdır!,😺 Сон удваіх лепш!,😺 Laku noć je bolja zajedno!,😺 Spánek je lepší sdílený!,😺 Sengetid er bedre delt!,😺 وقت النوم أفضل بمشاركة!,😺 Nukkumaanmeno on parempi jaettuna!,😺 Ο ύπνος είναι καλύτερος μοιρασμένος!,😺 A lefekvés jobb megosztva!,😺 خواب با هم بهتره!,😺 שעת השינה טובה יותר משותפת!,😺 La nanna è meglio condivisa!,😺 وقت النوم أفضل بمشاركة!,😺 Miegas geresnis dalinantis!,😺 Masa tidur lebih baik dikongsi!,😺 وقت النوم أفضل بمشاركة!,😺 Slaaptijd is beter gedeeld!,😺 Leggetid er bedre delt!,😺 وقت النوم أفضل بمشاركة!,😺 Bedtime is better shared!,😺 Sen lepszy we dwoje!,😺 Somnul e mai bun împărțit!,😺 وقت النوم أفضل بمشاركة!,😺 Spánok je lepší spoločný!,😺 Sängtid är bättre delad!,😺 ก่อนนอนแชร์กันดีกว่า!,😺 وقت النوم أفضل بمشاركة!,😺 Yatma zamanı paylaşınca güzel!,😺 Сон удвох краще!,😺 وقت النوم أفضل بمشاركة!,😺 Uyqu birga yaxshiroq!,😺 Giờ ngủ tốt hơn khi sẻ chia!,😺 Bedtyd is beter gedeel!,😺 መተኛት ሲጋራ ይሻላል!,😺 বিছানা সাথে ভালো!,😺 Laku noć je bolja zajedno!,😺 Dormir és millor compartit!,😺 ¡Dormir es mejor en compañía!,😺 ¡Dormir es mejor en compañía!,😺 ¡Dormir es mejor en compañía!,😺 Le dodo est mieux partagé !,😺 પથારી સાથે વધુ સારી!,😺 Háttatími er betri deildur!,😺 Ұйқы бірге жақсы!,😺 ពេលដេកល្អជាងពេលចែករំលែក!,😺 ಮಲಗುವ ಸಮಯ ಜೊತೆಯಲ್ಲಿ ಚೆನ್ನ!,😺 ເວລານອນດີກວ່າເມື່ອແບ່ງປັນ!,😺 Спиењето е подобро споделено!,😺 ഉറക്ക സമയം പങ്കിട്ടാൽ നല്ലത്!,😺 Унтах нь хуваалцвал илүү!,😺 झोपण्याची वेळ सोबत छान!,😺 सुत्ने बेला साथमा राम्रो!,😺 ਸੌਣ ਦਾ ਵੇਲਾ ਸਾਥ 'ਚ ਸੋਹਣਾ!,😺 Dormir é melhor compartilhado!,😺 නින්දට යන වෙලාව බෙදුවම හොඳයි!,😺 Lahko noč je boljša skupaj!,😺 Лаку ноћ је боља удвоје!,😺 Kulala ni bora kushiriki!,😺 படுக்கை நேரம் பகிர்வது சிறந்தது!,😺 పడుకునే సమయం పంచుకోవడం బాగుంది!,😺 سونے کا وقت ساتھ ہو تو اچھا!
PUSH_EVE_BODY_100,One last solve together 💕,一起解最后一道💕,Um último puzzle juntos 💕,एक आखिरी हल साथ 💕,Satu puzzle terakhir bareng 💕,One last solve together 💕,最後一題一起解 💕,Один последний пазл 💕,最後の1問、一緒に 💕,Ein letztes Rätsel zusammen 💕,Un dernier puzzle ensemble 💕,마지막 한 문제 같이 💕,Um último puzzle juntos 💕,Un último puzle juntos 💕,Birlikdə son həll 💕,Апошні пазл разам 💕,Jedno posljednje zajedno 💕,Poslední řešení spolu 💕,Et sidste solve sammen 💕,حل أخير معاً 💕,Yksi viimeinen ratkaisu yhdessä 💕,Μια τελευταία λύση μαζί 💕,Egy utolsó közös megoldás 💕,یه حل آخر با هم 💕,פתרון אחרון ביחד 💕,Un ultimo puzzle insieme 💕,حل أخير معاً 💕,Paskutinis sprendimas kartu 💕,Satu teka-teki terakhir bersama 💕,حل أخير معاً 💕,Een laatste solve samen 💕,Et siste solve sammen 💕,حل أخير معاً 💕,One last solve together 💕,Ostatnia razem 💕,Un ultim puzzle împreună 💕,حل أخير معاً 💕,Posledné riešenie spolu 💕,Ett sista solve ihop 💕,เล่นด่านสุดท้ายด้วยกัน 💕,حل أخير معاً 💕,Birlikte son bir çözüm 💕,Останній пазл разом 💕,حل أخير معاً 💕,Birga oxirgi yechim 💕,Một câu đố cuối cùng 💕,Een laaste oplos saam 💕,የመጨረሻ መፍታት አብረን 💕,একটা শেষ সমাধান একসাথে 💕,Jedno posljednje zajedno 💕,Un últim puzle junts 💕,Un último puzle juntos 💕,Un último puzle juntos 💕,Un último puzle juntos 💕,Un dernier puzzle ensemble 💕,એક છેલ્લો ઉકેલ સાથે 💕,Ein síðasta leysing saman 💕,Бірге соңғы шешім 💕,ការដោះស្រាយចុងក្រោយជាមួយគ្នា 💕,ಒಟ್ಟಿಗೆ ಕೊನೆಯ ಒಂದು ಪರಿಹಾರ 💕,ປິສະໜາສຸດທ້າຍນຳກັນ 💕,Уште едно последно решавање 💕,ഒരുമിച്ച് അവസാന പരിഹാരം 💕,Сүүлчийн шийдэл хамт 💕,एकत्र शेवटचे सोडव 💕,अन्तिम पटक सँगै हल 💕,ਆਖਰੀ ਵਾਰ ਇਕੱਠੇ ਹੱਲ 💕,Um último puzzle juntos 💕,අවසන් වරට එකට විසඳමු 💕,Ena zadnja skupaj 💕,Још једно последње решавање 💕,Utatuzi mmoja wa mwisho pamoja 💕,ஒன்றாக கடைசி தீர்வு 💕,కలిసి ఒక చివరి సాల్వ్ 💕,ایک ساتھ آخری حل 💕
COLOR_LAVENDER,Lavender,薰衣草紫,Lavanda,लैवेंडर,Lavender,Lavender,薰衣草紫,Лавандовый,ラベンダー,Lavendel,Lavande,라벤더,Lavanda,Lavanda,Lavanda,Лавандавы,Lavanda,Levandule,Lavendel,خزامى,Laventeli,Λεβάντα,Levendula,اسطوخودوس,לבנדר,Lavanda,خزامى,Levanda,Lavender,خزامى,Lavendel,Lavendel,خزامى,Lavender,Lawenda,Lavandă,خزامى,Levanduľa,Lavendel,ลาเวนเดอร์,خزامى,Lavanta,Лавандовий,خزامى,Lavanda,Lavender,Laventel,ላቬንደር,ল্যাভেন্ডার,Lavanda,Lavanda,Lavanda,Lavanda,Lavanda,Lavande,લેવેન્ડર,Lavender,Лаванда,ស្វាយ,ಲ್ಯಾವೆಂಡರ್,ສີລາເວັນເດີ,Лаванда,ലാവൻഡർ,Лаванд,लॅव्हेंडर,ल्याभेन्डर,ਲੈਵੇਂਡਰ,Lavanda,ලැවෙන්ඩර්,Sivka,Lavanda,Lavenda,லாவெண்டர்,లావెండర్,لیوینڈر
PUSH_EVE_TITLE_57,🌃 Late-night logic!,🌃 深夜逻辑！,🌃 Lógica noturna!,🌃 देर रात की लॉजिक!,🌃 Logika larut malam!,🌃 Late-night logic!,🌃 深夜邏輯!,🌃 Ночная логика!,🌃 夜更けのロジック!,🌃 Nachtlogik!,🌃 Logique de fin de soirée !,🌃 깊은 밤 로직!,🌃 Lógica noturna!,🌃 ¡Lógica nocturna!,🌃 Gec gecə məntiqi!,🌃 Начная логіка!,🌃 Kasna noćna logika!,🌃 Pozdně noční logika!,🌃 Senaftens-logik!,🌃 منطق ليلي!,🌃 Myöhäisen yön logiikkaa!,🌃 Νυχτερινή λογική!,🌃 Éjszakai logika!,🌃 منطق آخر شب!,🌃 הגיון של לילה!,🌃 Logica a tarda notte!,🌃 منطق ليلي!,🌃 Vėlyvos nakties logika!,🌃 Logik lewat malam!,🌃 منطق ليلي!,🌃 Laatavond-logica!,🌃 Senkvelds-logikk!,🌃 منطق ليلي!,🌃 Late-night logic!,🌃 Późnonocna logika!,🌃 Logică de noapte târzie!,🌃 منطق ليلي!,🌃 Neskoronočná logika!,🌃 Sen-kvälls-logik!,🌃 ตรรกะดึกๆ!,🌃 منطق ليلي!,🌃 Gece geç mantığı!,🌃 Нічна логіка!,🌃 منطق ليلي!,🌃 Kech kechki mantiq!,🌃 Logic đêm khuya!,🌃 Laat-aand logika!,🌃 የሌሊት ሎጂክ!,🌃 দেরী রাতের লজিক!,🌃 Kasna noćna logika!,🌃 Lògica de nit tardana!,🌃 ¡Lógica nocturna!,🌃 ¡Lógica nocturna!,🌃 ¡Lógica nocturna!,🌃 Logique de fin de soirée !,🌃 મોડી રાતનું લોજિક!,🌃 Síðkvölds-rökfræði!,🌃 Кеш түнгі логика!,🌃 តក្កវិជ្ជាយប់ជ្រៅ!,🌃 ತಡರಾತ್ರಿಯ ತರ್ಕ!,🌃 ຕັກກະຄ່ຳເລິກ!,🌃 Доцновечерна логика!,🌃 വൈകി രാത്രി ലോജിക്!,🌃 Шөнө дундын логик!,🌃 उशिरा रात्रीचे तर्क!,🌃 ढिलो रातको लजिक!,🌃 ਦੇਰ ਰਾਤ ਦੀ ਲੌਜਿਕ!,🌃 Lógica noturna!,🌃 රෑ බෝවෙලා තර්කනය!,🌃 Pozno-nočna logika!,🌃 Касновечерња логика!,🌃 Mantiki ya usiku!,🌃 தாமதமான இரவு தர்க்கம்!,🌃 రాత్రి-ఆలస్య లాజిక్!,🌃 دیر رات کی منطق!
PUSH_EVE_TITLE_56,🐱 I'm in your spot!,🐱 我占了你的位置！,🐱 Tô no seu lugar!,🐱 तुम्हारी जगह बैठा हूँ!,🐱 Aku di tempatmu!,🐱 Nasa lugar mo ako!,🐱 我佔了你的位子!,🐱 Сижу на твоём месте!,🐱 あなたの場所、占領中!,🐱 Sitz auf deinem Platz!,🐱 Je suis à ta place !,🐱 네 자리 차지했어!,🐱 Estou no seu lugar!,🐱 ¡Estoy en tu lugar!,🐱 Sənin yerindəyəm!,🐱 Я на тваім месцы!,🐱 U tvom sam mjestu!,🐱 Jsem na tvém místě!,🐱 Jeg er i din plads!,🐱 أنا في مكانك!,🐱 Olen sinun paikallasi!,🐱 Είμαι στη θέση σου!,🐱 A te helyeden vagyok!,🐱 تو جای توام!,🐱 אני במקום שלך!,🐱 Sono nel tuo posto!,🐱 أنا في مكانك!,🐱 Aš tavo vietoje!,🐱 Saya di tempat awak!,🐱 أنا في مكانك!,🐱 Ik zit op je plek!,🐱 Jeg er på plassen din!,🐱 أنا في مكانك!,🐱 I'm in your spot!,🐱 Jestem na twoim miejscu!,🐱 Sunt pe locul tău!,🐱 أنا في مكانك!,🐱 Som na tvojom mieste!,🐱 Jag är på din plats!,🐱 ฉันอยู่ที่นั่งเธอ!,🐱 أنا في مكانك!,🐱 Senin yerindeyim!,🐱 Я на твоєму місці!,🐱 أنا في مكانك!,🐱 Sening joyingdaman!,🐱 Tớ ở chỗ của cậu!,🐱 Ek's in jou plek!,🐱 በቦታህ ላይ ነኝ!,🐱 তোমার জায়গায় বসেছি!,🐱 Na tvom sam mjestu!,🐱 Sóc al teu lloc!,🐱 ¡Estoy en tu lugar!,🐱 ¡Estoy en tu lugar!,🐱 ¡Estoy en tu lugar!,🐱 Je suis à ta place !,🐱 તારી જગ્યાએ બેઠો છું!,🐱 Ég er í þínu sæti!,🐱 Сенің орныңдамын!,🐱 ខ្ញុំនៅកន្លែងរបស់អ្នក!,🐱 ನಿಮ್ಮ ಜಾಗದಲ್ಲಿದ್ದೇನೆ!,🐱 ຂ້ອຍຢູ່ບ່ອນເຈົ້າ!,🐱 На твоето место сум!,🐱 ഞാൻ നിങ്ങളുടെ സ്ഥലത്താണ്!,🐱 Чиний газар суусан!,🐱 मी तुझ्या जागी आहे!,🐱 म तिम्रो ठाउँमा छु!,🐱 ਮੈਂ ਤੇਰੀ ਥਾਂ 'ਤੇ ਹਾਂ!,🐱 Estou no seu lugar!,🐱 මම ඔයාගේ තැනේ!,🐱 Na tvojem mestu sem!,🐱 На твом сам месту!,🐱 Niko mahali pako!,🐱 உன் இடத்தில் இருக்கிறேன்!,🐱 నీ స్థానంలో ఉన్నాను!,🐱 تمہاری جگہ میں ہوں!
PUSH_EVE_BODY_88,Stay and solve awhile 💕,留下来解会儿谜💕,Fique e resolva um pouco 💕,रुको और हल करो 💕,Tinggal dan main sebentar 💕,Manatili at maglaro 💕,留下來解題一陣子 💕,"Останься, решай 💕",もう少し解いてって 💕,Bleib und löse eine Weile 💕,Reste et résous un peu 💕,조금 더 풀고 가 💕,Fique e resolva um pouco 💕,Quédate y resuelve un rato 💕,Qal və bir az həll et 💕,"Застанься, развязвай 💕",Ostani i riješi malo 💕,Zůstaň a řeš chvíli 💕,Bliv og løs lidt 💕,ابقَ وحل بعض الوقت 💕,Jää ja ratkaise hetki 💕,Μείνε και λύσε λίγο 💕,Maradj és oldj meg egy kicsit 💕,بمون و یکم حل کن 💕,הישאר ופתור קצת 💕,Resta e risolvi un po' 💕,ابقَ وحل بعض الوقت 💕,Pabūk ir paspręsk 💕,Tinggal dan main sebentar 💕,ابقَ وحل بعض الوقت 💕,Blijf en los nog wat op 💕,Bli og løs en stund 💕,ابقَ وحل بعض الوقت 💕,Stay and solve awhile 💕,Zostań i porozwiązuj 💕,Stai și rezolvă puțin 💕,ابقَ وحل بعض الوقت 💕,Zostaň a riešte chvíľu 💕,Stanna och lös en stund 💕,อยู่และเล่นสักพัก 💕,ابقَ وحل بعض الوقت 💕,Kal ve biraz çöz 💕,"Залишся, розв'язуй 💕",ابقَ وحل بعض الوقت 💕,Qol va biroz yech 💕,Ở lại và chơi chút 💕,Bly en los 'n bietjie op 💕,ቆይ እና ትንሽ ፍታ 💕,থাকো আর সমাধান করো 💕,Ostani i riješi malo 💕,Queda't i resol una estona 💕,Quédate y resuelve un rato 💕,Quédate y resuelve un rato 💕,Quédate y resuelve un rato 💕,Reste et résous un peu 💕,રોકાવ અને ઉકેલો 💕,Vertu og leystu smá 💕,Қал және аз шеш 💕,នៅ និងលេងបន្តិច 💕,ಸ್ವಲ್ಪ ಕಾಲ ಇರಿ ಮತ್ತು ಪರಿಹರಿಸಿ 💕,ຢູ່ ແລະ ຫຼິ້ນສັກໜ້ອຍ 💕,Остани и реши малку 💕,കുറച്ച് നേരം നിന്ന് പരിഹരിക്കൂ 💕,Үлдэж бага зэрэг шийд 💕,थोडा वेळ राहा आणि सोडव 💕,बस र अलि बेर हल गर 💕,ਰੁਕ ਤੇ ਥੋੜ੍ਹਾ ਹੱਲ ਕਰ 💕,Fique e resolva um pouco 💕,ඉඳන් ටිකක් විසඳන්න 💕,Ostani in reši še malo 💕,Остани и реши мало 💕,Kaa na utatue kidogo 💕,"சிறிது நில், தீர் 💕","ఉండు, కొంచెం సాల్వ్ 💕",رکو اور تھوڑا حل کرو 💕
PUSH_EVE_BODY_89,One puzzle calms it all 🌿,一道谜题抚平一切🌿,Um puzzle acalma tudo 🌿,एक पज़ल सब शांत करे 🌿,Satu puzzle tenangkan semua 🌿,Isang puzzle nagpapakalma 🌿,一題拼圖讓一切平靜 🌿,Пазл всё уймёт 🌿,1問で全部穏やかに 🌿,Ein Rätsel beruhigt alles 🌿,Un puzzle apaise tout 🌿,한 문제로 모두 평온해져 🌿,Um puzzle acalma tudo 🌿,Un puzle lo calma todo 🌿,Bir tapmaca hər şeyi sakitləşdirir 🌿,Пазл усё ўтаймуе 🌿,Jedna zagonetka sve smiruje 🌿,Jedna hádanka vše uklidní 🌿,Ét puslespil dæmper alt 🌿,لغز واحد يهدّئ كل شيء 🌿,Yksi pulma rauhoittaa kaiken 🌿,Ένας γρίφος ηρεμεί τα πάντα 🌿,Egy fejtörő mindent megnyugtat 🌿,یه پازل همه چیز رو آروم می‌کنه 🌿,חידה אחת מרגיעה הכל 🌿,Un puzzle calma tutto 🌿,لغز واحد يهدّئ كل شيء 🌿,Vienas galvosūkis viską nuramina 🌿,Satu teka-teki tenangkan semua 🌿,لغز واحد يهدّئ كل شيء 🌿,Eén puzzel kalmeert alles 🌿,Ett puslespill roer alt 🌿,لغز واحد يهدّئ كل شيء 🌿,One puzzle calms it all 🌿,Łamigłówka koi wszystko 🌿,Un puzzle calmează tot 🌿,لغز واحد يهدّئ كل شيء 🌿,Jedna hádanka všetko upokojí 🌿,Ett pussel lugnar allt 🌿,เกมนึงสงบทุกอย่าง 🌿,لغز واحد يهدّئ كل شيء 🌿,Bir bulmaca her şeyi yatıştırır 🌿,Пазл усе вгамує 🌿,لغز واحد يهدّئ كل شيء 🌿,Bitta jumboq hammasini tinchlantiradi 🌿,Một câu đố làm dịu tất cả 🌿,Een raaisel kalmeer alles 🌿,አንድ እንቆቅልሽ ሁሉንም ያስታግሳል 🌿,একটা পাজল সব শান্ত করে 🌿,Jedna zagonetka sve umiruje 🌿,Un puzle ho calma tot 🌿,Un puzle lo calma todo 🌿,Un puzle lo calma todo 🌿,Un puzle lo calma todo 🌿,Un puzzle apaise tout 🌿,એક પઝલ બધું શાંત કરે 🌿,Ein þraut róar allt 🌿,Бір жұмбақ бәрін тыныштандырады 🌿,បញ្ហាមួយធ្វើឱ្យស្ងប់ទាំងអស់ 🌿,ಒಂದು ಕೋಡೆ ಎಲ್ಲವನ್ನೂ ಶಾಂತಗೊಳಿಸುತ್ತದೆ 🌿,ປິສະໜາໜຶ່ງສະຫງົບທັງໝົດ 🌿,Една сложувалка смирува сè 🌿,ഒരു പസിൽ എല്ലാം ശാന്തമാക്കും 🌿,Нэг оньсого бүхнийг тайвшруулна 🌿,एक कोडे सर्व काही शांत करते 🌿,एउटा पजलले सब शान्त 🌿,ਇੱਕ ਪਜ਼ਲ ਸਭ ਚੁੱਪ ਕਰਾਉਂਦਾ 🌿,Um puzzle acalma tudo 🌿,එක ප්‍රහේළිකාවක් සියල්ල සන්සුන් කරයි 🌿,Ena uganka vse pomiri 🌿,Једна слагалица све смирује 🌿,Fumbo moja hutuliza yote 🌿,ஒரு புதிர் எல்லாவற்றையும் அமைதிப்படுத்தும் 🌿,ఒక పజిల్ అన్నీ ప్రశాంతపరుస్తుంది 🌿,ایک پزل سب کچھ سکون میں لائے 🌿
FAIL_RESTART,Restart,重启,Reiniciar,पुनः आरंभ,Mulai Ulang,I-restart,重新啟動,Перезапуск,再起動,Neustart,Recommencer,재시작,Reiniciar,Reiniciar,Yenidən başlat,Перазапуск,Ponovno pokreni,Restart,Genstart,إعادة التشغيل,Käynnistä uudelleen,Επανεκκίνηση,Újraindítás,شروع دوباره,התחל מחדש,Riavvia,إعادة التشغيل,Paleisti iš naujo,Mula Semula,إعادة التشغيل,Herstarten,Start på nytt,إعادة التشغيل,Restart,Uruchom ponownie,Repornire,إعادة التشغيل,Reštart,Starta om,รีสตาร์ท,إعادة التشغيل,Yeniden Başlat,Перезапуск,إعادة التشغيل,Qayta ishga tushirish,Khởi Động Lại,Herbegin,እንደገና አስጀምር,রিস্টার্ট,Ponovo pokreni,Reiniciar,Reiniciar,Reiniciar,Reiniciar,Redémarrer,ફરી શરૂ કરો,Endurræsa,Қайта бастау,ចាប់ផ្តើម​ឡើងវិញ,ಮರುಪ್ರಾರಂಭ,ເລີ່ມໃໝ່,Рестартирај,പുനരാരംഭിക്കുക,Дахин асаах,रीस्टार्ट,फेरि सुरु,ਮੁੜ ਚਾਲੂ ਕਰੋ,Reiniciar,නැවත අරඹන්න,Znova zaženi,Поново покрени,Anza Upya,மறுதொடக்கம்,రీస్టార్ట్,دوبارہ شروع کریں
COLOR_PURPLE,Purple,紫色,Roxo,बैंगनी,Ungu,Lila,紫色,Фиолетовый,パープル,Violett,Violet,보라색,Roxo,Morado,Bənövşəyi,Фіялетавы,Ljubičasta,Fialová,Lilla,بنفسجي,Violetti,Μωβ,Lila,بنفش,סגול,Viola,بنفسجي,Violetinė,Ungu,بنفسجي,Paars,Lilla,بنفسجي,Purple,Fioletowy,Mov,بنفسجي,Fialová,Lila,ม่วง,بنفسجي,Mor,Фіолетовий,بنفسجي,Binafsha,Tím,Pers,ሐምራዊ,বেগুনি,Ljubičasta,Lila,Morado,Morado,Morado,Violet,જાંબલી,Fjólublár,Күлгін,ស្វាយ,ನೇರಳೆ,ສີມ່ວງ,Виолетова,പർപ്പിൾ,Нил ягаан,जांभळा,बैजनी,ਜਾਮਨੀ,Roxo,දම්,Vijolična,Љубичаста,Zambarau,ஊதா,ఊదా,جامنی
COLOR_DARK_BLUE,Dark Blue,深蓝色,Azul-escuro,गहरा नीला,Biru Tua,Madilim na Asul,深藍色,Тёмно-синий,ダークブルー,Dunkelblau,Bleu foncé,남색,Azul-escuro,Azul Oscuro,Tünd mavi,Цёмна-сіні,Tamnoplava,Tmavě modrá,Mørkeblå,أزرق داكن,Tummansininen,Σκούρο Μπλε,Sötétkék,آبی تیره,כחול כהה,Blu scuro,أزرق داكن,Tamsiai mėlyna,Biru Tua,أزرق داكن,Donkerblauw,Mørkeblå,أزرق داكن,Dark Blue,Granatowy,Albastru închis,أزرق داكن,Tmavomodrá,Mörkblå,น้ำเงินเข้ม,أزرق داكن,Koyu Mavi,Темно-синій,أزرق داكن,To'q ko'k,Xanh Dương Đậm,Donkerblou,ጥቁር ሰማያዊ,গাঢ় নীল,Tamnoplava,Blau fosc,Azul oscuro,Azul oscuro,Azul oscuro,Bleu foncé,ઘેરો વાદળી,Dökkblár,Қою көк,ខៀវចាស់,ಗಾಢ ನೀಲಿ,ສີຟ້າເຂັ້ມ,Темносина,കടും നീല,Хар хөх,गडद निळा,गाढा निलो,ਗੂੜ੍ਹਾ ਨੀਲਾ,Azul-escuro,තද නිල්,Temno modra,Тамноплава,Buluu Iliyokoza,கடும் நீலம்,ముదురు నీలం,گہرا نیلا
